No,Station_Name,Address,Coordinate,Type,Longtitude,Latitude
1,สถานีขนส่งผู้โดยสารกรุงเทพ (จตุจักร)/สำนักงานใหญ่,สถานีขนส่งผู้โดยสารกรุงเทพ (จตุจักร) 999 ถ.กำแพงเพชร 2 จตุจักร จตุจักร กทม. 10900,"13.813107,100.548812",สถานีเดินรถ,13.813107,100.548812
2,สถานีบริการขนส่งสาธารณะขนาดเล็ก,"สถานีขนส่งผู้โดยสารกรุงเทพ (จตุจักร) ฝั่งตรงข้ามบริเวณใต้ทางด่วน 
ถ.กำแพงเพชร 2 จตุจักร จตุจักร กทม. 10900","13.812192,100.551157",สถานีเดินรถ,13.812192,100.551157
3,สถานีขนส่งผู้โดยสารกรุงเทพ (เอกมัย),300 ถ.สุขุมวิท แขวงคลอตัน เขตคลองเตย กทม. 10260,"13.719816,100.584099",สถานีเดินรถ,13.719816,100.584099
4,สถานีขนส่งผู้โดยสารกรุงเทพ (สายใต้บรมราชชนนี),24/6 ม.8 ถ.บรมราชชนนี แขวงฉิมพลี เขตลิ่งชัน กทม. 10170,"13.781137,100.422932",สถานีเดินรถ,13.781137,100.422932
5,สำนักซ่อมบำรุงและตรวจสภาพรถ,48/26 ซ.พัฒนาเจริญรุ่ง ถ.พหลโยธิน ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,"14.005085,100.609751",ที่ทำการ,14.005085,100.609751
6,งานบริการน้ำมัน (สายใต้ปิ่นเกล้า),ถ.ปิ่นเกล้า-นครชัยศรี ต.บางพลัด อ.บางพลัด กทม. 10700,"13.786386,100.468166",ที่ทำการ,13.786386,100.468166
7,จุดจำหน่ายค่าธรรมเนียม สถานีขนส่งผู้โดยสารกรุงเทพ (สายใต้ปิ่นเกล้า),ถ.ปิ่นเกล้า-นครชัยศรี ต.บางพลัด อ.บางพลัด กทม. 10701,"13.786386,100.468166",ที่ทำการ,13.786386,100.468166
8,สถานีเดินรถกำแพงเพชร,243/33  ม.3  ต.นครชุม  อ.เมือง จ.กำแพงเพชร  62000,"16.474482999999999,
99.510103999999998",ที่ทำการ/จุดจำหน่ายตั๋ว,16.474482999999999,"
99.510103999999998"
9,สถานีเดินรถเชียงของ,99 ต.เวียง อ.เชียงของ  จ.เชียงราย 57140,"20.226199999999999,100.403255",ที่ทำการ/จุดจำหน่ายตั๋ว,20.226199999999999,100.403255
10,สถานีเดินรถเชียงคำ,302/5  ม.4  ต.หย่วน อ.เชียงคำ  จ.พะเยา 56110,"19.5222725,100.3026923",ที่ทำการ/จุดจำหน่ายตั๋ว,19.5222725,100.3026923
11,สถานีเดินรถตาก,1/16-17  ถ.พหลโยธิน ต.หนองหลวง  อ.เมือง จ.ตาก  63000,"16.887134,99.127981000000005",ที่ทำการ/จุดจำหน่ายตั๋ว,16.887134,99.1279810
12,สถานีเดินรถนครสวรรค์,605/90 - 91 ม.10  ถ.เอกมหาชัย ต.นครสวรรค์ตก  อ.เมือง จ.นครสวรรค์  60000,"15.701199000000001,100.119017",ที่ทำการ/จุดจำหน่ายตั๋ว,15.701199000000001,100.119017
13,สถานีเดินรถเชียงราย,120/1 หมู่ 26 ถ.พหลโยธินสายใน ต.รอบเวียง  อ.เมือง จ.เชียงราย  57000,"19.8813865210507,
99.837321415543556",ที่ทำการ/จุดจำหน่ายตั๋ว,19.8813865210507,"
99.8373214155435"
14,- จุดรับส่งพัสดุ เชียงราย,120/1 หมู่ 26 ถ.พหลโยธินสายใน ต.รอบเวียง  อ.เมือง จ.เชียงราย  57000 (ห่างกัน 50 ม.),"19.904860699710628,
99.834389909588523",จุดรับ-ส่งพัสดุ,19.904860699710628,"
99.834389909588523"
15,สถานีเดินรถเชียงใหม่,165  ซอย  5 ถ.แก้วนวรัฐ  ต.วัดเกต อ.เมือง  จ.เชียงใหม่ 50000,"18.800056,98.986696",ที่ทำการ/จุดจำหน่ายตั๋ว,18.800056,98.986696
16,- จุดรับส่งพัสดุ เชียงใหม่,สถานีขนส่งผู้โดยสารอาเขตแห่งที่ 2 ถ.แก้วนวรัฐ  ต.วัดเกต อ.เมือง  จ.เชียงใหม่ 50000,"18.80016405436718,
99.017552210408965",จุดรับ-ส่งพัสดุ,18.80016405436718,"
99.01755221040896"
17,สถานีเดินรถเถิน,381  ม.12  ต.ล้อมแรด อ.เถิน  จ.ลำปาง 52160,"17.621379999999998,
99.236631000000003",ที่ทำการ/จุดจำหน่ายตั๋ว,17.621379999999998,"
99.236631000000003"
18,สถานีเดินรถน่าน,สถานีขนส่งจังหวัดน่าน ถ.เจ้าฟ้า ต.ในเวียง  อ.เมือง จ.น่าน  55000,"18.774376,100.763073",ที่ทำการ,18.774376,100.763073
19,- สถานีเดินรถน่าน,7/76 - 77  ถ.เจ้าฟ้า ต.ในเวียง  อ.เมือง จ.น่าน  5500 (ห่างกัน 300เมตร),"18.774556,100.763049",ที่ทำการ/จุดจำหน่ายตั๋ว,18.774556,100.763049
20,สถานีเดินรถพิษณุโลก,834/44 - 45  ถนนมิตรภาพ ต.ในเมือง อ.เมือง  จ.พิษณุโลก 65000 (ทำบัญชี+ขายตั๋ว),"16.819019406118262,
100.27874881411",ที่ทำการ/จุดจำหน่ายตั๋ว,16.819019406118262,"
100.27874881411"
21,- สถานีเดินรถพิษณุโลก (ช่อง 4),834/44 - 45  ถนนมิตรภาพ ต.ในเมือง อ.เมือง  จ.พิษณุโลก 65001 (ห่างจากที่ทำการประมาณ 50 เมตร) (ขายตั๋ว+ใบเวลา),"16.818524,100.279159",จุดจอด/จุดจำหน่ายตั๋ว,16.818524,100.279159
22,สถานีเดินรถแพร่,172/25 - 26 ถ.ยันตกิจโกศล  อ.เมือง จ.แพร่ 54000,"18.148502171475371,
100.151732489903",ที่ทำการ/จุดจำหน่ายตั๋ว,18.148502171475371,"
100.151732489903"
23,สถานีเดินรถพะเยา,14/19 ถ.รอบเวียงประตูกลอง ต.เวียง  อ.เมือง จ.พะเยา  56000,"19.172554999999999,
99.898217000000002",ที่ทำการ/จุดจำหน่ายตั๋ว,19.172554999999999,"
99.898217000000002"
24,สถานีเดินรถพิจิตร,20/30  ถ.คลองคะเชนทร์ ชุมชนราชรถ  ต.ในเมือง อ.เมือง  จ.พิจิตร 66000,"16.447629,100.333560",ที่ทำการ/จุดจำหน่ายตั๋ว,16.447629,100.333560
25,- จุดจำหน่ายตั๋วสนามกีฬาจ.พิจิตร,สนามกีฬาจังหวัดพิจิตร ต.ในเมือง อ.เมือง  จ.พิจิตร 66000,"16.443065,100.324504",จุดจอด/จุดจำหน่ายตั๋ว,16.443065,100.324504
26,สถานีเดินรถแม่สอด,74/1  ม.7  ต.แม่ปะ อ.แม่สอด  จ.ตาก 63110,"16.733259,98.565984",ที่ทำการ/จุดจำหน่ายตั๋ว,16.733259,98.565984
27,สถานีเดินรถเพชรบูรณ์,31/2  ถ.กลางเมืองพัฒนา ต.ในเมือง  อ.เมือง จ.เพชรบูรณ์  67000,"16.408404000000001,101.161759",ที่ทำการ/จุดจำหน่ายตั๋ว,16.408404000000001,101.161759
28,- จุดจอดหนองไผ่ สถานีเพชรบูรณ์,2265 ม.11 ต.หนองไผ่ อ.หนองไผ่  จ.เพชรบูรณ์,"15.988894,101.063734",จุดจอด/จุดจำหน่ายตั๋ว,15.988894,101.063734
29,สถานีเดินรถแม่สาย,100/54 - 55  ม.5 ต.เวียงพางคำ  อ.แม่สาย จ.เชียงราย  57130,"20.405266,99.882325",ที่ทำการ/จุดจำหน่ายตั๋ว,20.405266,99.882325
30,สถานีเดินรถลำปาง,101/17  ถ.จันทร์สุรินทร์ ต.สบตุ๋ย  อ.เมือง จ.ลำปาง 52000,"18.2773857,99.4835633",ที่ทำการ/จุดจำหน่ายตั๋ว,18.2773857,99.4835633
31,- สถานีเดินรถลำปาง แห่งที่ 2,สถานีขนส่งผู้โดยสารจังหวัดลำปาง ถ.จันทร์สุรินทร์ ต.สบตุ๋ย  อ.เมือง จ.ลำปาง 52000,"18.2774066,99.4833593",จุดจำหน่ายตั๋ว,18.2774066,99.4833593
32,สถานีเดินรถลำพูน,56/7 - 8  ถ.สนามกีฬา ต.ในเมือง  อ.เมือง จ.ลำพูน  51000,"18.569515,99.007039",ที่ทำการ/จุดจำหน่ายตั๋ว,18.569515,99.007039
